"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I.4","DHAG-25/08/10","QBG-042","27/08/2025","","680Y/750Y","42","2.05","2.67","Đã có NVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I.5","DHAG-25/08/12","KT-043","28/08/2025","","680Y","20","2.57","3.71","Không có NVL ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I.6","DHAG-25/08/14","HN-045","28/08/2025","","680Y","2","0.22","0.34","Đã có NVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"II.","Chào hàng/SR","","","","","198","18.73","0","","","","41,925,000","","","II.","Chào hàng/SR","","","","","160","19.62","0","","","","19,535,000","","","II.","Chào hàng/SR","","","","","120","","0","","","1,800,000",""
"II.1","[DHAG-25/04/01]","CH1-SR","","Theo tiến độ","750Y","80","4.18","","Không có NVL ","","","11,700,000","","","II.1","[DHAG-25/02/03]","KDS-CH","","Theo tiến độ","750W","100","7.3","","Đã có NVL","Kho Tổng","","","","","II.1","[DHAG-25/05/11]","KDS-CH","","Theo tiến độ","610Y","40","0.32","","Không có NVL ","","600,000",""
"II.2","[DHAG-25/04/02]","ADM2","","Theo tiến độ","750Y","10","1.84","","Không có NVL ","","","3,000,000","","","II.2","[DHAG-25/05/11]","KDS-CH","","Theo tiến độ","610Y","39","5","","Không có NVL ","","","9,675,000","","","II.2","[DHAG-25/05/11]","KDS-CH","","Theo tiến độ","680Y","40","0.36","","Không có NVL ","Kho L3","600,000",""
"II.3","[DHAG-25/05/11]","KDS-CH","","Theo tiến độ","610Y","65","6.58","","Không có NVL ","","","13,450,000","","","II.3","[DHAG-25/05/12]","KDS-CH","","Theo tiến độ","750W","18","4.32","","Không có NVL ","","","8,760,000","","","II.3","[DHAG-25/05/12]","KDS-CH","","Theo tiến độ","750W","40","0.39","","Không có NVL ","Kho L3","600,000",""
"II.4","[DHAG-25/05/12]","KDS-CH","","Theo tiến độ","750W","43","6.13","","Không có NVL ","","","13,775,000","","","II.4","[DHAG-25/05/09]","CH1-SR","","Theo tiến độ","750Y","3","3.00","","Không có NVL ","","","1,100,000","","","","","","","","","","","","","","",""
"II.5","[DHAG-25/05/15]","CH2-SR","04/06/2025","Theo tiến độ","750W/Y","60","12","18.0","Không có NVL ","","","Chưa có giá, chờ bổ sung","","","II.5","[DHAG-25/05/15]","CH2-SR","","Theo tiến độ","750W/Y","34","7.6","","Không có NVL ","","","Chưa có giá, chờ bổ sung","","","","","","","","","","","","","","",""
"II.6","[DHAG-25/05/10]","KDS-CH","30/05/2025","Theo tiến độ","610Y","5","0.41","","Đã có NVL","Vàng kênh sỉ","","","","","II.6","[DHAG-25/07/06]","KDS-CH","","Theo tiến độ","610Y","100","24.0","","Không có NVL ","","","","","","","","","","","","","","","","","",""
"II.7","[DHAG-25/06/06]","CH1-SR","06/09/2025","Theo tiến độ","750Y","40","5.46","","Không có NVL ","","","Chưa có giá, chờ bổ sung","","","II.7","[DHAG-25/08/03]","KDS-CH","11/08/2025","","610Y/750W","50","14.0","25.2","Không có NVL ","","","","","","","","","","","","","","","","","",""
"II.8","[DHAG-25/06/09]","KDS-CH","13/06/2025","Theo tiến độ","610Y","35","2.36","","Đã có NVL","Vàng kênh sỉ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"II.9","[DHAG-25/06/10]","KDS-CH","16/06/2025","","610Y","180","10.69","","Không có NVL ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"II.10","[DHAG-25/06/15]","CH1-SR","19/06/2025","","750R","10","0.48","","Đã có NVL","Vàng kênh sỉ","Chờ đánh bóng, xi mạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"II. 12","[DHAG-25/07/07]","CH1-SR","29/07/2025","","750W/750Y","41","2.5","3.8","Không có NVL ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"II.13","[DHAG-25/08/01]","CH1-SR","05/08","","24K","10","1.73","2.2","Đã có NVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B.","Bạc 925","","","","","","","","","","","","","","B.","Bạc 925","","","","","","","","","","","","","","B.","Bạc 925","","","","","","","","","","",""
"I.","Khách hàng","","","","","0","0","0","","","","","","","I.","Khách hàng","","","","","0","0","","","","","","","","I.","Khách hàng","","","","","0","","0","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"II.","Chào hàng/SR","","","","","75","15.65","0.00","","","","","","","II.","Chào hàng/SR","","","","","6","3.00","","","","","","","","II.","Chào hàng/SR","","","","","0","","0","","","",""
"II.1","[DHAG-25/05/13]","KDS-CH","","Theo tiến độ","Bac925","75","15.65","","Đã có NVL","Đổi bạc","","Chưa có giá, chờ bổ sung","","","II.1","[DHAG-25/05/13]","KDS-CH","","Theo tiến độ","Bac925","6","3.00","","Đã có NVL","Đổi bạc","","Chưa có giá, chờ bổ sung","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C.","PT900/950","","","","","","","","","","","","","","C.","PT900/950","","","","","","","","","","","","","","C.","PT900/950","","","","","","","","","","",""
"I.","Khách hàng","","","","","0","0.00","0.00","","","","","","","I.","Khách hàng","","","","","0","0.00","","","","","","","","I.","Khách hàng","","","","","0","","0","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"II.","Chào hàng/SR","","","","","121","17.77","0.00","","","","","","","II.","Chào hàng/SR","","","","","3","4.43","","","","","","","","II.","Chào hàng/SR","","","","","0","","0","","","",""
"II.1","[DHAG-25/05/08]","CH1-SR","","Theo tiến độ","PT900","30","3.8","","Đã có NVL","L2, Kho Tổng","","Chưa có giá chờ bổ sung","","","II.1","[DHAG-25/05/09]","CH1-SR","","Theo tiến độ","PT900","3","4.43","","Đã có NVL","L2, Kho Tổng","","Chưa có giá chờ bổ sung","","","","","","","","","","","","","","",""
"II.2","[DHAG-25/06/06]","CH1-SR","09/06/2025","Theo tiến độ","PT900","50","3.87","","Không có NVL ","Kho Tổng","","Chưa có giá, chờ bổ sung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"II.3","[DHAG-25/06/08]","KDS-CH","13/06/2025","Theo tiến độ","PT900","41","10.1","","Đã có NVL","Kho Tổng","","Chưa có giá, chờ bổ sung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","A. NGUYÊN LIỆU VÀNG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1. Đơn hàng khách","","","","","","","","","","","","","","","2. Đơn hàng chào khách, SR","","","","","","","","","","","","","3. Đơn hàng mẫu","","","","","","","","","","","","",""
"","1.1 Kinh doanh sỉ","","","","","","","","","","","","","","","2.1 Kinh doanh sỉ","","","","","","","","","","","","","3.1 L3","","","","","","","","","","","","",""
"","Mã đơn hàng","Khách hàng","","Deadline","Loại vàng","SL đặt đơn
(Sợi)","","TL 24K cần đề xuất
Chưa hệ số dẻ
(L)","","Tình hình NVL
(L)","","","","","","Mã đơn hàng","Deadline","","Loại vàng","SL đặt đơn
(Sợi)","SL đang/đã sản xuất
(Sợi)","Tình hình NVL
(L)","","","","","","","Mã đơn hàng","","Deadline","Loại vàng","","SL đã sản xuất
(Sợi)","SL đã sản xuất
(Sợi)","SL còn lại
(Sợi)","","","","","",""
"","A. Dây","","","","","","","","","","","","","","","A. Dây","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","B. Bi","","","","","","","","","","","","","","","B. Bi","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","C. Phụ kiện","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1.2 CH1/CH2","","","","","","","","","","","","","","","2.2 CH1/CH2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mã đơn hàng","Khách hàng","","Deadline","Loại vàng","SL đã sản xuất
(Sợi)","","TL 24K
Chưa hệ số dẻ
(L)","","Tình hình NVL
(L)","","","","","","Mã đơn hàng","Deadline","","Loại vàng","SL đặt đơn
(Sợi)","SL đang/đã sản xuất
(Sợi)","Tình hình NVL
(L)","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","B. Bi","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1.3 SXL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mã đơn hàng","Khách hàng","","Deadline","Loại vàng","SL đã sản xuất
(Sợi)","","TL 24K
Chưa hệ số dẻ
(L)","","Tình hình NVL
(L)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","A. Dây","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","B. Bi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","B. NGUYÊN LIỆU BẠC 925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1. Đơn hàng khách","","","","","","","","","","","","","","","2. Đơn hàng chào khách, SR","","","","","","","","","","","","","3. Đơn hàng mẫu","","","","","","","","","","","","",""
"","1.1 Kinh doanh sỉ","","","","","","","","","","","","","","","2.1 Kinh doanh sỉ","","","","","","","","","","","","","3.1 L3","","","","","","","","","","","","",""
"","Mã đơn hàng","Khách hàng","","Deadline","Loại vàng","SL đã sản xuất
(Sợi)","","TL Bac
Chưa hệ số dẻ
(L)","","Tình hình NVL
(L)","","","","","","Mã đơn hàng","Deadline","","Loại vàng","SL đặt đơn
(Sợi)","SL đang/đã sản xuất
(Sợi)","Tình hình NVL
(L)","","","","","","","Mã đơn hàng","","Deadline","Loại vàng","","SL đã sản xuất
(Sợi)","SL đã sản xuất
(Sợi)","SL còn lại
(Sợi)","","","","","",""
"","","","","","","","","","","","","","","","","A. Dây","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","[DHAG-25/05/13]","Theo tiến độ","","Bac925","75","0","Chưa có NVL","","","","","","","[DHAG-25/05/10]","","Theo tiến độ","Bạc 925","","5","0","5","","","","","",""
"","","","","","","","","","","","","","","","","A. Bi","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","[DHAG-25/05/13]","Theo tiến độ","","Bac925","6","0","Chưa có NVL","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1.2 CH1/CH2","","","","","","","","","","","","","","","2.2 CH1/CH2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mã đơn hàng","Khách hàng","","Deadline","Loại vàng","SL đã sản xuất
(Sợi)","","TL Bac
Chưa hệ số dẻ
(L)","","Tình hình NVL
(L)","","","","","","Mã đơn hàng","Deadline","","Loại vàng","SL đặt đơn
(Sợi)","SL đang/đã sản xuất
(Sợi)","Tình hình NVL
(L)","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1.3 SXL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mã đơn hàng","Khách hàng","","Deadline","Loại vàng","SL đã sản xuất
(Sợi)","","TL Bac
Chưa hệ số dẻ
(L)","","Tình hình NVL
(L)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","C. NGUYÊN LIỆU BẠC PT900/PT950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1. Đơn hàng khách","","","","","","","","","","","","","","","2. Đơn hàng chào khách, SR","","","","","","","","","","","","","3. Đơn hàng mẫu","","","","","","","","","","","","",""
"","1.1 Kinh doanh sỉ","","","","","","","","","","","","","","","2.1 Kinh doanh sỉ","","","","","","","","","","","","","3.1 L3","","","","","","","","","","","","",""
"","Mã đơn hàng","Khách hàng","","Deadline","Loại vàng","SL đã sản xuất
(Sợi)","","TL PT
(L)","","Tình hình NVL
(L)","","","","","","Mã đơn hàng","Deadline","","Loại vàng","SL đặt đơn
(Sợi)","SL đang/đã sản xuất
(Sợi)","Tình hình NVL
(L)","","","","","","","Mã đơn hàng","","Deadline","Loại vàng","","SL đã sản xuất
(Sợi)","SL đã sản xuất
(Sợi)","SL còn lại
(Sợi)","","","","","",""
"","A. Dây","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","B. Bi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1.2 CH1/CH2","","","","","","","","","","","","","","","2.2 CH1/CH2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mã đơn hàng","Khách hàng","","Deadline","Loại vàng","SL đã sản xuất
(Sợi)","","TL PT
(L)","","Tình hình NVL
(L)","","","","","","Mã đơn hàng","Deadline","","Loại vàng","SL đặt đơn
(Sợi)","SL đang/đã sản xuất
(Sợi)","Tình hình NVL
(L)","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","A. DÂY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","B. BI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","[DHAG-25/05/09]","Theo tiến độ","","PT950","3","0","Chưa có NVL","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1.3 SXL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mã đơn hàng","Khách hàng","","Deadline","Loại vàng","SL đã sản xuất
(Sợi)","","TL PT
(L)","","Tình hình NVL
(L)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
